query,solution
give me the number of movies directed by Sofia Coppola,"['GET /search/person', 'GET /person/{person_id}/movie_credits']"
Who was the lead actor in the movie The Dark Knight?,"['GET /search/movie', 'GET /movie/{movie_id}/credits']"
Who directed the top-1 rated movie?,"['GET /movie/top_rated', 'GET /movie/{movie_id}/credits']"
give me a image for the collection Star Wars,"['GET /search/collection', 'GET /collection/{collection_id}/images']"
What is the logo of the Walt Disney?,"['GET /search/company', 'GET /company/{company_id}/images']"
What dose the lead actor of Titanic look like?,"['GET /search/movie', 'GET /movie/{movie_id}/credits', 'GET /person/{person_id}/images']"
give me some reviews of the first movie that is similar to Titanic,"['GET /search/movie', 'GET /movie/{movie_id}/similar', 'GET /movie/{movie_id}/reviews']"
I just finished watching Titanic and I want some other movie recommendations,"['GET /search/movie', 'GET /movie/{movie_id}/recommendations']"
What is the latest movie directed by Christopher Nolan?,"['GET /search/person', 'GET /person/{person_id}/movie_credits']"
tell me the highest rated movie directed by Martin Scorsese,"['GET /search/person', 'GET /person/{person_id}/movie_credits']"
Who is the director of Leonardo DiCaprio's latest movie?,"['GET /search/person', 'GET /person/{person_id}/movie_credits', 'GET /movie/{movie_id}/credits']"
tell me a TV show recently directed by Catherine Hardwicke,"['GET /search/person', 'GET /person/{person_id}/tv_credits']"
Please recommend me some TV shows similar to Breaking Bad,"['GET /search/tv', 'GET /tv/{tv_id}/recommendations']"
Who is the director of today's most trending movie?,"['GET /trending/{media_type}/{time_window}', 'GET /movie/{movie_id}/credits']"
"Who is the director of the movie ""Twilight""?","['GET /search/movie', 'GET /movie/{movie_id}/credits']"
give me a photo belong to the second episode of the first season of the Witcher,"['GET /search/tv', 'GET /tv/{tv_id}/season/{season_number}/episode/{episode_number}/images']"
What is top-1 rated movie?,['GET /movie/top_rated']
"What is the release date of the movie ""The Matrix""?","['GET /search/movie', 'GET /movie/{movie_id}/release_dates']"
Who is the most popular person?,['GET /person/popular']
Give me some cover images of movies directed by Christopher Nolan.,"['GET /search/person', 'GET /person/{person_id}/movie_credits', 'GET /movie/{movie_id}/images']"
"What are some common keywords associated with movie ""Titanic""?","['GET /search/movie', 'GET /movie/{movie_id}/keywords']"
Give me a show that is currently on the air,['GET /tv/on_the_air']
When is Clint Eastwood's latest movie scheduled to be released?,"['GET /search/person', 'GET /person/{person_id}/movie_credits', 'GET /movie/{movie_id}/release_dates']"
Give me some movie reviews about The Dark Knight,"['GET /search/movie', 'GET /movie/{movie_id}/reviews']"
What are some movies that are similar to one of the movies directed by Francis Ford Coppola?,"['GET /search/person', 'GET /person/{person_id}/movie_credits', 'GET /movie/{movie_id}/similar']"
Who is the lead actor in the latest released movie?,"['GET /movie/latest', 'GET /movie/{movie_id}/credits']"
give me one image of the movie that is currently showing in theaters,"[' GET /movie/now_playing', 'GET /movie/{movie_id}/images']"
What is the most popular movie right now and what is its keywords?,"['GET /movie/popular', 'GET /movie/{movie_id}/keywords']"
What are the keywords of the most popular movie right now,"[' GET /movie/popular', 'GET /movie/{movie_id}/keywords']"
"Who has starred in a movie ""Titanic""","['GET /search/movie ', 'GET /movie/{movie_id}/credits']"
What do the logo looks like for Paramount Pictures?,"['GET /company/{company_id}', 'GET /company/{company_id}/images']"
"tell me where the company ""universal pictures"" was founded?","['GET /search/company', 'GET /company/{company_id}']"
"When is the movie ""Titanic"" released?","['GET /search/movie ', 'GET /movie/{movie_id}/release_dates']"
Who has starred in the first movie of Star Wars collection?,"['GET /search/collection', 'GET /collection/{collection_id}', 'GET /movie/{movie_id}/credits']"
give me a movie cover of a movie from the collection Harry Potter,"['GET /search/collection', 'GET /collection/{collection_id}', 'GET /movie/{movie_id}/images']"
What are some keywords for a movie of the collection The Hunger Games?,"['GET /search/collection', 'GET /collection/{collection_id}', 'GET /movie/{movie_id}/keywords']"
When are the release dates for the movies of the collection The Hobbit?,"['GET /search/collection', 'GET /collection/{collection_id}']"
List movies from The Fast and the Furious collection,"['GET /search/collection', 'GET /collection/{collection_id}']"
Give me a review of a movie from the collection The Fast and the Furious.,"['GET /search/collection', 'GET /collection/{collection_id}', 'GET /movie/{movie_id}/reviews']"
When was the first movie of the collection Lord of the Rings released?,"['GET /search/collection', 'GET /collection/{collection_id}']"
tell me the directors of the first season of House of Cards,"['GET /search/tv', 'GET /tv/{tv_id}/season/{season_number}/credits']"
I want some tv shows that similar to House of Cards,"['GET /search/tv', 'GET /tv/{tv_id}/similar']"
When did the most popular TV show currently on the air start?,"['GET /tv/on_the_air', 'GET /tv/{tv_id}']"
tell me a few more works directed by the director of Django Unchained,"['GET /search/movie', 'GET /movie/{movie_id}/credits', 'GET /person/{person_id}/movie_credits']"
tell me the cast of a TV show on the air,"['GET /tv/on_the_air', 'GET /tv/{tv_id}/credits']"
I need a review for Breaking Bad,"['GET /search/tv', 'GET /tv/{tv_id}/reviews']"
I'm watching the tv series The Last Of Us and I need some more recommendations,"['GET /search/tv', 'GET /tv/{tv_id}/recommendations']"
I'm watching a TV show called The Last Of Us and I need some more recommendations,"['GET /search/tv', 'GET /tv/{tv_id}/recommendations']"
"tell me the guest star from season 3, episode 24 of Friends","['GET /search/tv', 'GET /tv/{tv_id}/season/{season_number}/episode/{episode_number}/credits']"
Who is the lead actor in the most popular TV show?,"['GET /tv/popular', 'GET /tv/{tv_id}/credits']"
give me a keyword of the top-1 rated TV show,"['GET /tv/top_rated', 'GET /tv/{tv_id}/keywords']"
give me a poster of 2 Broke Girls,"['GET /search/tv', 'GET /tv/{tv_id}/images']"
How many episodes does 2 Broke Girls have in total?,"['GET /search/tv', 'GET /tv/{tv_id}']"
When was the company that produced The Big Bang Theory founded?,"['GET /search/tv', 'GET /tv/{tv_id}', 'GET /company/{company_id}']"
When was the TV show The Big Bang Theory created?,"['GET /search/tv', 'GET /tv/{tv_id}']"
give me a keyword of the most popular TV show,"['GET /tv/popular', 'GET /tv/{tv_id}/keywords']"
What did the third episode of the second season of Westworld talk about?,"['GET /search/tv', 'GET /tv/{tv_id}/season/{season_number}/episode/{episode_number}']"
Tell me the air date of the second season of Game of Thrones,"['GET /search/tv', 'GET /tv/{tv_id}/season/{season_number}']"
 give me a poster of the third episode of Band of Brothers,"['GET /search/tv', 'GET /tv/{tv_id}/season/{season_number}/episode/{episode_number}/images']"
What is the logo of the network that produced Game of Thrones?,"['GET /search/tv', 'GET /tv/{tv_id}', 'GET /network/{network_id}/images']"
give me the homepage of the network that produced Game of Thrones,"['GET /search/tv', 'GET /tv/{tv_id}', 'GET /network/{network_id}']"
give me a keyword of the most popular TV show currently,"['GET /tv/popular', 'GET /tv/{tv_id}/keywords']"
Where is the headquarter of the company that produced currently the most popular TV show?,"['GET /tv/popular', 'GET /tv/{tv_id}', 'GET /company/{company_id}']"
What is the genre of The Mandalorian?,"['GET /search/tv', 'GET /tv/{tv_id}']"
When is the birthday of the lead actor of today's most trending TV show?,"['GET /trending/{media_type}/{time_window}', 'GET /tv/{tv_id}/credits', 'GET /person/{person_id}']"
What is the homepage of the network that produced today's most trending TV show?,"['GET /trending/{media_type}/{time_window}', 'GET /tv/{tv_id}', 'GET /network/{network_id}']"
give me a review of today's most trending TV show,"['GET /trending/{media_type}/{time_window}', 'GET /tv/{tv_id}/reviews']"
I prefer a TV show that similar to today's most trending TV show,"['GET /trending/{media_type}/{time_window}', 'GET /tv/{tv_id}/similar']"
I need a poster of today's most trending TV show,"['GET /trending/{media_type}/{time_window}', 'GET /tv/{tv_id}/images']"
Who has worked with Jeremy Clarkson in his most popular TV show?,"['GET /search/person', 'GET /person/{person_id}/tv_credits', 'GET /tv/{tv_id}/credits']"
What does the lead actor of the first episode of second season of Black Mirror look like?,"['GET /search/tv', 'GET /tv/{tv_id}/credits', 'GET /person/{person_id}/images']"
When is the lead actor of The Mandalorian born?,"['GET /search/tv', 'GET /tv/{tv_id}/credits', 'GET /person/{person_id}']"
Who is the lead actor of today's most popular TV show?,"['GET /tv/popular', 'GET /tv/{tv_id}/credits']"
give me a photo of the lead actor of the most popular TV show of this week,"['GET /tv/popular', 'GET /tv/{tv_id}/credits', 'GET /person/{person_id}/images']"
give me some reviews of Cate Blanchett's latest TV show,"['GET /search/person', 'GET /person/{person_id}/tv_credits', 'GET /tv/{tv_id}/reviews']"
What is David Schwimmer's most popular TV show?,"['GET /search/person', 'GET /person/{person_id}/tv_credits']"
Who directed the third episode of the second season of Black Mirror?,"['GET /search/tv', 'GET /tv/{tv_id}/season/{season_number}/credits']"
