query,solution
Make me a playlist containing three songs of Mariah Carey and name it 'Love Mariah',"['GET /search', 'GET /me', 'POST /users/{user_id}/playlists', 'POST /playlists/{playlist_id}/tracks']"
Add the first song of The Dark Side of the Moon in my playback queue,"['GET /search', 'GET /albums/{id}/tracks', 'POST /me/player/queue']"
Add Summertime Sadness by Lana Del Rey in my first playlist,"['GET /search', 'GET /me/playlists', 'POST /playlists/{playlist_id}/tracks']"
Skip to the next track and set the volume to 60,"['POST /me/player/next', 'PUT /me/player/volume']"
Put the song now being played into My Music,"['GET /me/player/currently-playing', 'PUT /me/tracks']"
Append the first song of the newest album of my following first artist to my player queue,"['GET /me/following', 'GET /artists/{id}/albums', 'GET /albums/{id}/tracks', 'POST /me/player/queue']"
Follow the artist of the song now playing,"['GET /me/player/currently-playing', 'GET /tracks/{id}', 'PUT /me/following']"
Play a song from Taylor Swift's newest album,"['GET /search', 'GET /artists/{id}/albums', 'PUT /me/player/play']"
play me some quiet songs,"['GET /search', 'PUT /me/player/play']"
Follow the artist of the first song recently played,"['GET /me/player/currently-playing', 'GET /tracks/{id}', 'PUT /me/following']"
Switch to the next song and set the single track repeat mode,"['POST /me/player/next', 'PUT /me/player/repeat']"
Save Jay Chou's album Mojito,"['GET /search', 'PUT /me/albums']"
"Rename my first playlist to ""My First""","['GET /me/playlists', 'PUT /playlists/{playlist_id}']"
Remove following from the artist of the currently playing music,"['GET /me/player/currently-playing', 'GET /tracks/{id}', 'DELETE /me/following']"
"Pause playback, turn down the volume and resume playing","['PUT /me/player/pause', 'PUT /me/player/volume', 'PUT /me/player/play']"
"Add songs from the current playing queue to a new playlist called ""Current""","['GET /me/player/queue', 'GET /me', 'POST /users/{user_id}/playlists', 'PUT /playlists/{playlist_id}']"
What is the name of the song I playing right now?,['GET /me/player/currently-playing']
Remove the first album from my music,"['GET /me/albums', 'DELETE /me/albums']"
Show me the albums I saved,['GET /me/albums']
Follow the artist of the song which is playing right now.,"['GET /me/player/currently-playing', 'GET /tracks/{id}', 'PUT /me/following']"
Recommend me some tracks with the same genre of the music currently playing,"['GET /me/player/currently-playing', 'GET /search']"
Append the first track in The Beatle's newest album to my 'My Rock' playlist,"['GET /search', 'GET /artists/{id}/albums', 'POST /playlists/{playlist_id}/tracks', 'PUT /playlists/{playlist_id}']"
"Make top tracks of Taylor Swift a new playlist named ""Love Taylor""","['GET /artists/{id}/top-tracks', 'GET /me', 'POST /users/{user_id}/playlists', 'POST /playlists/{playlist_id}/tracks']"
Who is my favorite artist?,['GET /me/top/{type}']
Give me a song of my favorite artist,"['GET /me/top/{type}', 'GET /artists/{id}']"
Delete all music from my 'My R&B' playlist and rename it as 'Test',"['GET /me/playlists', 'DELETE /playlists/{playlist_id}/tracks', 'PUT /playlists/{playlist_id}']"
show me the album information of the song currently playing,"['GET /me/player/currently-playing', 'GET /tracks/{id}']"
Pause device 'My PC' if it is now playing something,"['GET /me/player', 'PUT /me/player/pause']"
pause current song and resume it on 'My PC',"['PUT /me/player/pause', 'GET /me/player/devices', 'PUT /me/player/play']"
show me the name of Maroon 5's newest album,"['GET /search', 'GET /artists/{id}/albums']"
Recommend more artists base on my first following artist,"['GET /me/following', 'GET /artists/{id}/related-artists']"
Unfollow the artist of the song now playing and skip to the next song,"['GET /me/player/currently-playing', 'DELETE /me/following', 'POST /me/player/next']"
Follow Taylor Swift,"['GET /search', 'PUT /me/following']"
Make my top tracks a new playlist called 'My Top',"['GET /me/top/{type}', 'GET /me', 'POST /users/{user_id}/playlists', 'POST /playlists/{playlist_id}/tracks']"
Remove the first song from my playlist 'My Rock',"['GET /me/playlists', 'GET /playlists/{playlist_id}/tracks', 'DELETE /playlists/{playlist_id}/tracks']"
add top songs of the first of my following artist to My Music,"['GET /me/following', 'GET /artists/{id}/top-tracks', 'PUT /me/tracks']"
